Character,Image_URL
Evilhawk,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Darkhawk_1.jpg/220px-Darkhawk_1.jpg
Falcon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Brown-Falcon%2C-Vic%2C-3.1.2008.jpg/220px-Brown-Falcon%2C-Vic%2C-3.1.2008.jpg
Faora,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Faora.jpg/220px-Faora.jpg
Fighting Spirit,https://static.wikia.nocookie.net/marvel_dc/images/6/65/Carol_Carter_%28Earth-ABC%29_002.png/revision/latest?cb=20090920033652
Fin Fang Foom,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Fin_Fang_Foom.png/220px-Fin_Fang_Foom.png
Fire,https://static.wikia.nocookie.net/marvel_dc/images/9/93/The_Human_Target_Vol_1_7_Textless_Lau_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20221003030550
Firebird,https://static.wikia.nocookie.net/marvel_dc/images/a/aa/Serafina_Arkadin_001.png/revision/latest/scale-to-width-down/236?cb=20200210023849
Firestorm,https://static.wikia.nocookie.net/marvel_dc/images/8/8c/Lazarus_Planet_Legends_Reborn_Vol_1_1_Textless_Sarmento_Variant.jpg/revision/latest/scale-to-width-down/334?cb=20230205133724
Flash,https://static.wikia.nocookie.net/marvel_dc/images/8/86/The_Flash_Vol_1_768_Textless_Variant.jpg/revision/latest/scale-to-width-down/350?cb=20210329143920
Flash Gordon,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flash_Gordon.png/220px-Flash_Gordon.png
Frenzy,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Frenzy_movieposter.jpg/220px-Frenzy_movieposter.jpg
Frigga,https://static.wikia.nocookie.net/marvel_dc/images/5/56/Frigga_Prime_Earth_001.jpg/revision/latest/scale-to-width-down/350?cb=20180212164232
Galactus,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Galactus_%282018%29.jpg/220px-Galactus_%282018%29.jpg
Gamora,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Gamora-cover.jpg/220px-Gamora-cover.jpg
Garbage Man,https://static.wikia.nocookie.net/marvel_dc/images/b/b6/Richard_Morse_01.jpg/revision/latest/scale-to-width-down/350?cb=20110207173832
General Zod,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/General_Zod_%28circa_2018%29.png/220px-General_Zod_%28circa_2018%29.png
Genesis,https://static.wikia.nocookie.net/marvel_dc/images/a/a6/Genesis_Preacher_001.png/revision/latest?cb=20120201163948
Ghost Rider,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Ghost_Rider_first_issue_cover.png/220px-Ghost_Rider_first_issue_cover.png
Ghost Rider II,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Ghost_Rider_2_Poster.jpg/220px-Ghost_Rider_2_Poster.jpg
Giganta,https://upload.wikimedia.org/wikipedia/en/1/13/Giganta.jpg
